Id Commande,Id client,Categorie,Article,Prix unitaire,Quantité,Depense totale,Methode de paiement,Lieu,Date de commande
TXN_4353295,Client_22,Patisserie,Article_6_PAT,12.5,8.0,100.0,Carte de credit,En ligne,2022-04-05
TXN_1543244,Client_20,Nourriture,inconnu,0.0,8.0,196.0,Carte de credit,En ligne,2024-10-25
TXN_1494700,Client_12,Appareil menager electrique,Article_21_ELEC,35.0,9.0,315.0,Carte de credit,En magasin,2024-03-07
TXN_1621497,Client_06,Patisserie,inconnu,23.0,0.0,0.0,Espèce,En magasin,2023-02-18
TXN_6398436,Client_15,Boissons,Article_25_BOI,41.0,7.0,287.0,Carte de credit,En magasin,2024-06-03
TXN_9065245,Client_02,Nourriture,Article_23_NOUR,38.0,2.0,76.0,Portefeuille electronique,En magasin,2024-03-10
TXN_6963438,Client_11,Meubles,Article_10_MEU,18.5,5.0,92.5,Carte de credit,En ligne,2024-04-23
TXN_8312797,Client_14,Boissons,Article_11_BOI,20.0,5.0,100.0,Portefeuille electronique,En ligne,2022-06-03
TXN_5836005,Client_19,Bouchers,Article_23_BOU,38.0,5.0,190.0,Carte de credit,En magasin,2024-10-19
TXN_4223250,Client_16,Boissons,Article_22_BOI,36.5,7.0,255.5,Espèce,En ligne,2023-05-31
TXN_1019817,Client_16,Appareil menager electrique,Article_10_ELEC,18.5,5.0,92.5,Espèce,En ligne,2022-08-01
TXN_1110407,Client_25,Bouchers,Article_24_BOU,39.5,7.0,276.5,Portefeuille electronique,En magasin,2022-10-21
TXN_6276518,Client_24,Boissons,Article_8_BOI,15.5,3.0,46.5,Espèce,En magasin,2024-04-08
TXN_4740738,Client_25,Nourriture,Article_3_NOUR,8.0,1.0,8.0,Portefeuille electronique,En magasin,2022-04-19
TXN_9587232,Client_20,Nourriture,Article_12_NOUR,21.5,5.0,107.5,Portefeuille electronique,En ligne,2023-02-28
TXN_6404316,Client_04,Ordinateurs et accessoires electriques,Article_16_ORDI,27.5,6.0,165.0,Carte de credit,En ligne,2022-04-06
TXN_9331642,Client_12,Patisserie,Article_11_PAT,20.0,4.0,80.0,Carte de credit,En ligne,2022-07-06
TXN_9729422,Client_13,Bouchers,Article_16_BOU,27.5,6.0,165.0,Carte de credit,En ligne,2024-12-31
TXN_8425168,Client_25,Produit laitier,Article_16_LAIT,27.5,7.0,192.5,Espèce,En magasin,2022-03-12
TXN_5379241,Client_05,Bouchers,Article_20_BOU,33.5,10.0,335.0,Carte de credit,En magasin,2023-04-12
TXN_8413369,Client_23,Ordinateurs et accessoires electriques,Article_5_ORDI,11.0,6.0,66.0,Carte de credit,En ligne,2024-03-09
TXN_4836321,Client_21,Nourriture,Article_12_NOUR,21.5,10.0,215.0,Portefeuille electronique,En magasin,2023-01-14
TXN_9451794,Client_24,Produit laitier,Article_19_LAIT,32.0,3.0,96.0,Carte de credit,En ligne,2024-01-28
TXN_8218431,Client_01,Meubles,Article_23_MEU,38.0,5.0,190.0,Portefeuille electronique,En ligne,2023-04-29
TXN_2383377,Client_15,Meubles,Article_7_MEU,14.0,3.0,42.0,Portefeuille electronique,En magasin,2023-04-02
TXN_7909783,Client_12,Ordinateurs et accessoires electriques,Article_5_ORDI,11.0,1.0,11.0,Carte de credit,En ligne,2023-12-17
TXN_5046007,Client_07,Ordinateurs et accessoires electriques,Article_15_ORDI,26.0,9.0,234.0,Espèce,En ligne,2024-07-22
TXN_6966182,Client_02,Meubles,Article_16_MEU,27.5,9.0,247.5,Espèce,En ligne,2024-09-06
TXN_3424571,Client_09,Produit laitier,Article_6_LAIT,12.5,7.0,87.5,Carte de credit,En ligne,2023-01-13
TXN_6820452,Client_10,Ordinateurs et accessoires electriques,Article_24_ORDI,39.5,8.0,316.0,Carte de credit,En magasin,2023-04-18
TXN_1998771,Client_25,Produit laitier,Article_16_LAIT,27.5,3.0,82.5,Portefeuille electronique,En ligne,2024-11-07
TXN_1132097,Client_24,Patisserie,Article_11_PAT,20.0,9.0,180.0,Carte de credit,En magasin,2023-05-18
TXN_5418871,Client_04,Ordinateurs et accessoires electriques,Article_22_ORDI,36.5,7.0,255.5,Espèce,En magasin,2022-03-16
TXN_6952276,Client_01,Nourriture,Article_22_NOUR,36.5,10.0,365.0,Carte de credit,En ligne,2024-08-02
TXN_6340470,Client_17,Bouchers,Article_2_BOU,6.5,6.0,39.0,Carte de credit,En magasin,2022-10-12
TXN_5885894,Client_01,Patisserie,Article_14_PAT,24.5,10.0,245.0,Carte de credit,En magasin,2022-02-09
TXN_3671271,Client_18,Patisserie,Article_12_PAT,21.5,8.0,172.0,Espèce,En magasin,2023-11-27
TXN_2719047,Client_03,Bouchers,Article_20_BOU,33.5,4.0,134.0,Carte de credit,En ligne,2023-11-21
TXN_9908330,Client_19,Nourriture,Article_18_NOUR,30.5,4.0,122.0,Carte de credit,En ligne,2022-09-29
TXN_2016332,Client_17,Patisserie,Article_1_PAT,5.0,6.0,30.0,Portefeuille electronique,En ligne,2022-12-17
TXN_7363165,Client_25,Boissons,Article_4_BOI,9.5,7.0,66.5,Portefeuille electronique,En magasin,2023-03-25
TXN_1260450,Client_25,Meubles,Article_22_MEU,36.5,10.0,365.0,Portefeuille electronique,En magasin,2023-12-24
TXN_6315447,Client_21,Patisserie,Article_7_PAT,14.0,9.0,126.0,Portefeuille electronique,En magasin,2025-01-12
TXN_5973228,Client_12,Boissons,Article_7_BOI,14.0,6.0,84.0,Portefeuille electronique,En ligne,2023-12-25
TXN_2780662,Client_02,Produit laitier,Article_19_LAIT,32.0,10.0,320.0,Portefeuille electronique,En magasin,2023-01-19
TXN_1142481,Client_02,Boissons,Article_22_BOI,36.5,6.0,219.0,Espèce,En magasin,2023-02-07
TXN_3933685,Client_09,Ordinateurs et accessoires electriques,Article_20_ORDI,33.5,10.0,335.0,Carte de credit,En ligne,2022-04-15
TXN_8955685,Client_24,Nourriture,Article_20_NOUR,33.5,2.0,67.0,Portefeuille electronique,En ligne,2023-04-24
TXN_1061030,Client_20,Ordinateurs et accessoires electriques,Article_22_ORDI,36.5,4.0,146.0,Portefeuille electronique,En ligne,2024-07-14
TXN_7821493,Client_07,Patisserie,Article_17_PAT,29.0,10.0,290.0,Carte de credit,En magasin,2024-12-17
TXN_8114453,Client_10,Appareil menager electrique,Article_21_ELEC,35.0,2.0,70.0,Portefeuille electronique,En magasin,2023-05-09
TXN_8024803,Client_09,Meubles,Article_11_MEU,20.0,8.0,160.0,Portefeuille electronique,En magasin,2024-08-22
TXN_4532214,Client_25,Patisserie,inconnu,15.5,0.0,0.0,Carte de credit,En magasin,2024-03-25
TXN_5062634,Client_04,Patisserie,Article_25_PAT,41.0,2.0,82.0,Carte de credit,En ligne,2023-07-06
TXN_8244728,Client_08,Nourriture,Article_7_NOUR,14.0,1.0,14.0,Carte de credit,En magasin,2024-04-27
TXN_3858145,Client_17,Meubles,Article_21_MEU,35.0,3.0,105.0,Portefeuille electronique,En ligne,2023-04-01
TXN_2646301,Client_18,Meubles,Article_24_MEU,39.5,9.0,355.5,Carte de credit,En magasin,2022-12-07
TXN_2414530,Client_24,Produit laitier,Article_8_LAIT,15.5,8.0,124.0,Espèce,En ligne,2024-06-20
TXN_8322008,Client_22,Nourriture,Article_4_NOUR,9.5,3.0,28.5,Espèce,En magasin,2024-08-20
TXN_3035546,Client_19,Boissons,Article_14_BOI,24.5,2.0,49.0,Carte de credit,En magasin,2023-07-12
TXN_7296720,Client_18,Patisserie,Article_4_PAT,9.5,5.0,47.5,Espèce,En ligne,2024-09-12
TXN_8414071,Client_20,Patisserie,Article_12_PAT,21.5,9.0,193.5,Espèce,En magasin,2023-05-02
TXN_5705131,Client_19,Produit laitier,Article_4_LAIT,9.5,4.0,38.0,Portefeuille electronique,En ligne,2024-03-27
TXN_5938028,Client_18,Ordinateurs et accessoires electriques,Article_7_ORDI,14.0,1.0,14.0,Portefeuille electronique,En ligne,2023-02-20
TXN_1958345,Client_08,Appareil menager electrique,Article_4_ELEC,9.5,8.0,76.0,Espèce,En magasin,2024-06-28
TXN_1528585,Client_15,Appareil menager electrique,Article_6_ELEC,12.5,1.0,12.5,Carte de credit,En magasin,2024-09-17
TXN_9619859,Client_01,Bouchers,Article_21_BOU,35.0,4.0,140.0,Espèce,En magasin,2024-04-05
TXN_6158929,Client_21,Nourriture,Article_11_NOUR,20.0,6.0,120.0,Espèce,En ligne,2022-01-29
TXN_7209607,Client_25,Nourriture,Article_18_NOUR,30.5,6.0,183.0,Carte de credit,En magasin,2023-08-25
TXN_5328604,Client_07,Nourriture,Article_20_NOUR,33.5,10.0,335.0,Espèce,En ligne,2024-07-08
TXN_4324641,Client_01,Patisserie,Article_16_PAT,27.5,6.0,165.0,Espèce,En magasin,2023-11-07
TXN_9464391,Client_04,Nourriture,Article_18_NOUR,30.5,10.0,305.0,Espèce,En ligne,2023-11-17
TXN_2940500,Client_06,Ordinateurs et accessoires electriques,Article_25_ORDI,41.0,1.0,41.0,Espèce,En magasin,2024-11-05
TXN_1945960,Client_09,Bouchers,Article_8_BOU,15.5,10.0,155.0,Portefeuille electronique,En magasin,2023-04-06
TXN_8219228,Client_17,Ordinateurs et accessoires electriques,Article_10_ORDI,18.5,5.0,92.5,Espèce,En ligne,2022-05-27
TXN_5471094,Client_14,Bouchers,Article_2_BOU,6.5,3.0,19.5,Portefeuille electronique,En magasin,2022-08-24
TXN_9255329,Client_01,Meubles,Article_25_MEU,41.0,7.0,287.0,Portefeuille electronique,En magasin,2022-03-02
TXN_9279462,Client_25,Meubles,Article_5_MEU,11.0,3.0,33.0,Carte de credit,En magasin,2022-02-05
TXN_7956502,Client_06,Bouchers,Article_8_BOU,15.5,7.0,108.5,Carte de credit,En magasin,2024-04-30
TXN_1352831,Client_04,Nourriture,Article_22_NOUR,36.5,3.0,109.5,Carte de credit,En ligne,2023-10-31
TXN_4372655,Client_08,Nourriture,Article_9_NOUR,17.0,7.0,119.0,Espèce,En magasin,2024-11-03
TXN_5419965,Client_23,Ordinateurs et accessoires electriques,inconnu,20.0,0.0,0.0,Portefeuille electronique,En ligne,2024-01-16
TXN_7655704,Client_11,Ordinateurs et accessoires electriques,Article_21_ORDI,35.0,8.0,280.0,Portefeuille electronique,En ligne,2022-08-08
TXN_8210621,Client_03,Boissons,inconnu,39.5,0.0,0.0,Portefeuille electronique,En ligne,2024-01-03
TXN_6908058,Client_25,Ordinateurs et accessoires electriques,Article_8_ORDI,15.5,10.0,155.0,Espèce,En magasin,2023-07-22
TXN_9204828,Client_07,Ordinateurs et accessoires electriques,Article_25_ORDI,41.0,7.0,287.0,Espèce,En ligne,2022-03-05
TXN_3208232,Client_25,Appareil menager electrique,Article_8_ELEC,15.5,4.0,62.0,Portefeuille electronique,En magasin,2024-01-13
TXN_8586300,Client_11,Ordinateurs et accessoires electriques,inconnu,27.5,0.0,0.0,Carte de credit,En ligne,2022-02-08
TXN_2212643,Client_09,Nourriture,Article_3_NOUR,8.0,4.0,32.0,Carte de credit,En magasin,2022-12-29
TXN_8215469,Client_17,Produit laitier,Article_23_LAIT,38.0,10.0,380.0,Portefeuille electronique,En magasin,2024-03-16
TXN_3403695,Client_25,Boissons,Article_23_BOI,38.0,8.0,304.0,Espèce,En ligne,2024-09-27
TXN_2878134,Client_18,Bouchers,Article_8_BOU,15.5,9.0,139.5,Carte de credit,En magasin,2024-05-10
TXN_3123571,Client_15,Meubles,Article_23_MEU,38.0,3.0,114.0,Portefeuille electronique,En ligne,2022-08-07
TXN_9940030,Client_25,Boissons,Article_19_BOI,32.0,6.0,192.0,Carte de credit,En magasin,2022-01-19
TXN_6195024,Client_13,Boissons,Article_20_BOI,33.5,5.0,167.5,Espèce,En ligne,2024-08-09
TXN_5243520,Client_13,Patisserie,Article_10_PAT,18.5,5.0,92.5,Espèce,En magasin,2024-05-16
TXN_4608122,Client_21,Bouchers,inconnu,0.0,10.0,275.0,Portefeuille electronique,En ligne,2022-10-01
TXN_6923419,Client_17,Meubles,Article_5_MEU,11.0,8.0,88.0,Portefeuille electronique,En ligne,2022-06-28
TXN_1112365,Client_19,Nourriture,Article_24_NOUR,39.5,10.0,395.0,Espèce,En ligne,2023-09-24
TXN_6989569,Client_11,Produit laitier,Article_21_LAIT,35.0,2.0,70.0,Carte de credit,En magasin,2022-01-17
TXN_5647023,Client_12,Meubles,Article_24_MEU,39.5,4.0,158.0,Portefeuille electronique,En magasin,2022-04-14
TXN_8049831,Client_18,Boissons,Article_6_BOI,12.5,2.0,25.0,Espèce,En magasin,2023-01-05
TXN_2953434,Client_25,Meubles,Article_25_MEU,41.0,10.0,410.0,Carte de credit,En magasin,2023-08-10
TXN_3831408,Client_18,Produit laitier,Article_1_LAIT,5.0,10.0,50.0,Portefeuille electronique,En ligne,2022-02-11
TXN_1249742,Client_05,Produit laitier,Article_24_LAIT,39.5,10.0,395.0,Portefeuille electronique,En ligne,2024-03-21
TXN_4633046,Client_13,Ordinateurs et accessoires electriques,Article_2_ORDI,6.5,5.0,32.5,Portefeuille electronique,En ligne,2023-08-25
TXN_3519817,Client_22,Bouchers,Article_18_BOU,30.5,4.0,122.0,Portefeuille electronique,En ligne,2022-06-14
TXN_1154680,Client_25,Meubles,inconnu,35.0,0.0,0.0,Carte de credit,En ligne,2022-12-18
TXN_9177662,Client_15,Meubles,inconnu,24.5,0.0,0.0,Espèce,En magasin,2024-09-30
TXN_4801202,Client_16,Meubles,Article_1_MEU,5.0,3.0,15.0,Portefeuille electronique,En ligne,2024-05-31
TXN_6149882,Client_09,Boissons,Article_20_BOI,33.5,1.0,33.5,Carte de credit,En ligne,2023-01-22
TXN_8809000,Client_23,Produit laitier,Article_3_LAIT,8.0,3.0,24.0,Espèce,En magasin,2023-01-10
TXN_5008001,Client_03,Appareil menager electrique,Article_10_ELEC,18.5,6.0,111.0,Carte de credit,En ligne,2024-11-04
TXN_5111184,Client_19,Produit laitier,Article_11_LAIT,20.0,6.0,120.0,Carte de credit,En ligne,2024-07-18
TXN_1499774,Client_07,Bouchers,Article_3_BOU,8.0,5.0,40.0,Carte de credit,En magasin,2022-12-15
TXN_2565828,Client_21,Nourriture,Article_24_NOUR,39.5,10.0,395.0,Carte de credit,En ligne,2022-02-18
TXN_6312937,Client_14,Ordinateurs et accessoires electriques,Article_13_ORDI,23.0,2.0,46.0,Portefeuille electronique,En magasin,2024-02-09
TXN_8775503,Client_08,Ordinateurs et accessoires electriques,Article_6_ORDI,12.5,2.0,25.0,Portefeuille electronique,En magasin,2024-10-11
TXN_3541663,Client_25,Meubles,Article_2_MEU,6.5,5.0,32.5,Portefeuille electronique,En magasin,2023-07-19
TXN_4947386,Client_13,Nourriture,Article_18_NOUR,30.5,10.0,305.0,Espèce,En ligne,2024-11-12
TXN_4276451,Client_17,Boissons,Article_22_BOI,36.5,1.0,36.5,Carte de credit,En ligne,2024-05-27
TXN_3380295,Client_08,Boissons,Article_6_BOI,12.5,5.0,62.5,Espèce,En ligne,2023-02-08
TXN_1390866,Client_09,Patisserie,Article_6_PAT,12.5,2.0,25.0,Portefeuille electronique,En magasin,2024-03-30
TXN_8616546,Client_09,Boissons,Article_21_BOI,35.0,8.0,280.0,Carte de credit,En ligne,2023-04-01
TXN_1804192,Client_20,Meubles,Article_8_MEU,15.5,9.0,139.5,Espèce,En ligne,2024-06-07
TXN_5046818,Client_02,Bouchers,Article_22_BOU,36.5,6.0,219.0,Portefeuille electronique,En magasin,2024-07-03
TXN_4626993,Client_24,Bouchers,Article_13_BOU,23.0,7.0,161.0,Carte de credit,En ligne,2023-08-23
TXN_5256349,Client_25,Boissons,Article_2_BOI,6.5,4.0,26.0,Portefeuille electronique,En ligne,2022-09-27
TXN_3822751,Client_21,Bouchers,inconnu,0.0,9.0,126.0,Portefeuille electronique,En magasin,2024-03-04
TXN_1882210,Client_13,Nourriture,Article_14_NOUR,24.5,4.0,98.0,Portefeuille electronique,En magasin,2022-03-02
TXN_9209383,Client_12,Appareil menager electrique,Article_7_ELEC,14.0,9.0,126.0,Carte de credit,En magasin,2024-09-16
TXN_2196324,Client_11,Bouchers,Article_21_BOU,35.0,9.0,315.0,Espèce,En magasin,2024-02-08
TXN_7020797,Client_22,Nourriture,Article_9_NOUR,17.0,5.0,85.0,Portefeuille electronique,En magasin,2024-04-20
TXN_7594834,Client_22,Meubles,Article_25_MEU,41.0,1.0,41.0,Carte de credit,En magasin,2024-03-16
TXN_3229559,Client_02,Boissons,Article_7_BOI,14.0,9.0,126.0,Portefeuille electronique,En ligne,2022-12-02
TXN_1336269,Client_19,Boissons,Article_7_BOI,14.0,6.0,84.0,Portefeuille electronique,En ligne,2024-12-25
TXN_2479337,Client_10,Patisserie,Article_25_PAT,41.0,7.0,287.0,Carte de credit,En magasin,2023-08-05
TXN_8784273,Client_25,Ordinateurs et accessoires electriques,Article_14_ORDI,24.5,4.0,98.0,Espèce,En magasin,2022-05-02
TXN_7771182,Client_10,Appareil menager electrique,Article_19_ELEC,32.0,6.0,192.0,Carte de credit,En magasin,2022-01-20
TXN_1132339,Client_01,Boissons,Article_11_BOI,20.0,4.0,80.0,Carte de credit,En ligne,2023-07-12
TXN_8283332,Client_16,Boissons,Article_23_BOI,38.0,6.0,228.0,Espèce,En ligne,2023-11-13
TXN_9496190,Client_18,Ordinateurs et accessoires electriques,Article_18_ORDI,30.5,3.0,91.5,Espèce,En ligne,2024-02-24
TXN_5205620,Client_17,Patisserie,Article_11_PAT,20.0,7.0,140.0,Espèce,En magasin,2023-06-26
TXN_4448047,Client_03,Produit laitier,Article_8_LAIT,15.5,6.0,93.0,Carte de credit,En ligne,2022-06-15
TXN_2163190,Client_20,Patisserie,Article_16_PAT,27.5,2.0,55.0,Portefeuille electronique,En ligne,2022-05-30
TXN_3338914,Client_16,Nourriture,Article_20_NOUR,33.5,10.0,335.0,Portefeuille electronique,En ligne,2024-05-29
TXN_8959624,Client_09,Produit laitier,Article_1_LAIT,5.0,7.0,35.0,Portefeuille electronique,En ligne,2024-12-18
TXN_1821423,Client_22,Meubles,Article_25_MEU,41.0,2.0,82.0,Carte de credit,En ligne,2022-01-13
TXN_1175914,Client_13,Bouchers,inconnu,23.0,0.0,0.0,Espèce,En magasin,2023-05-19
TXN_9760482,Client_07,Ordinateurs et accessoires electriques,Article_11_ORDI,20.0,9.0,180.0,Portefeuille electronique,En magasin,2023-01-06
TXN_8460432,Client_15,Meubles,Article_5_MEU,11.0,8.0,88.0,Portefeuille electronique,En ligne,2022-02-05
TXN_9610555,Client_15,Boissons,inconnu,6.5,0.0,0.0,Espèce,En magasin,2022-11-15
TXN_8136588,Client_07,Produit laitier,Article_16_LAIT,27.5,7.0,192.5,Portefeuille electronique,En magasin,2022-10-24
TXN_6630594,Client_07,Produit laitier,Article_3_LAIT,8.0,5.0,40.0,Espèce,En magasin,2023-12-03
TXN_4844684,Client_20,Bouchers,Article_20_BOU,33.5,5.0,167.5,Portefeuille electronique,En ligne,2022-07-23
TXN_9882772,Client_09,Meubles,Article_17_MEU,29.0,9.0,261.0,Espèce,En ligne,2023-08-07
TXN_2611065,Client_04,Produit laitier,Article_15_LAIT,26.0,8.0,208.0,Espèce,En magasin,2023-02-05
TXN_9896056,Client_10,Appareil menager electrique,Article_20_ELEC,33.5,3.0,100.5,Portefeuille electronique,En ligne,2022-12-29
TXN_2749184,Client_24,Nourriture,Article_20_NOUR,33.5,5.0,167.5,Carte de credit,En ligne,2023-04-18
TXN_3135312,Client_11,Appareil menager electrique,Article_16_ELEC,27.5,10.0,275.0,Espèce,En ligne,2022-09-27
TXN_4879766,Client_13,Ordinateurs et accessoires electriques,Article_20_ORDI,33.5,4.0,134.0,Portefeuille electronique,En ligne,2023-06-03
TXN_5822350,Client_16,Appareil menager electrique,Article_23_ELEC,38.0,1.0,38.0,Espèce,En magasin,2022-03-21
TXN_2755139,Client_21,Produit laitier,Article_4_LAIT,9.5,1.0,9.5,Portefeuille electronique,En ligne,2023-12-19
TXN_1484334,Client_01,Bouchers,Article_7_BOU,14.0,3.0,42.0,Espèce,En ligne,2023-03-19
TXN_3557526,Client_21,Ordinateurs et accessoires electriques,Article_16_ORDI,27.5,9.0,247.5,Portefeuille electronique,En magasin,2023-12-25
TXN_8960682,Client_25,Appareil menager electrique,Article_1_ELEC,5.0,2.0,10.0,Espèce,En ligne,2023-06-10
TXN_8973416,Client_13,Bouchers,Article_13_BOU,23.0,6.0,138.0,Espèce,En magasin,2022-09-10
TXN_5487046,Client_22,Ordinateurs et accessoires electriques,Article_19_ORDI,32.0,9.0,288.0,Espèce,En ligne,2022-06-06
TXN_5945222,Client_04,Bouchers,Article_20_BOU,33.5,5.0,167.5,Portefeuille electronique,En magasin,2024-08-11
TXN_1334483,Client_17,Ordinateurs et accessoires electriques,Article_11_ORDI,20.0,3.0,60.0,Espèce,En ligne,2023-07-17
TXN_8777313,Client_20,Nourriture,Article_25_NOUR,41.0,3.0,123.0,Portefeuille electronique,En magasin,2023-04-20
TXN_2690179,Client_12,Appareil menager electrique,Article_12_ELEC,21.5,2.0,43.0,Portefeuille electronique,En magasin,2023-09-09
TXN_2795990,Client_03,Appareil menager electrique,Article_22_ELEC,36.5,2.0,73.0,Portefeuille electronique,En magasin,2024-07-15
TXN_1402493,Client_24,Meubles,Article_24_MEU,39.5,5.0,197.5,Carte de credit,En magasin,2024-11-27
TXN_2438514,Client_15,Patisserie,Article_13_PAT,23.0,3.0,69.0,Portefeuille electronique,En ligne,2024-02-13
TXN_6229786,Client_04,Nourriture,Article_18_NOUR,30.5,2.0,61.0,Espèce,En magasin,2022-01-20
TXN_6490151,Client_08,Ordinateurs et accessoires electriques,Article_21_ORDI,35.0,4.0,140.0,Portefeuille electronique,En magasin,2024-10-17
TXN_9331694,Client_13,Ordinateurs et accessoires electriques,Article_2_ORDI,6.5,8.0,52.0,Carte de credit,En ligne,2023-12-09
TXN_8547389,Client_11,Appareil menager electrique,Article_17_ELEC,29.0,4.0,116.0,Espèce,En ligne,2022-05-26
TXN_7324151,Client_16,Ordinateurs et accessoires electriques,Article_21_ORDI,35.0,2.0,70.0,Carte de credit,En magasin,2024-08-30
TXN_1588276,Client_20,Bouchers,Article_8_BOU,15.5,3.0,46.5,Portefeuille electronique,En magasin,2022-10-08
TXN_6590263,Client_14,Patisserie,Article_1_PAT,5.0,7.0,35.0,Portefeuille electronique,En ligne,2024-12-11
TXN_2251132,Client_20,Nourriture,Article_6_NOUR,12.5,4.0,50.0,Espèce,En ligne,2024-07-15
TXN_1048755,Client_05,Bouchers,Article_25_BOU,41.0,3.0,123.0,Carte de credit,En ligne,2024-10-06
TXN_2530704,Client_25,Bouchers,Article_23_BOU,38.0,2.0,76.0,Portefeuille electronique,En magasin,2024-01-04
TXN_7804271,Client_22,Patisserie,inconnu,0.0,8.0,40.0,Espèce,En ligne,2023-02-10
TXN_6926974,Client_22,Ordinateurs et accessoires electriques,Article_4_ORDI,9.5,5.0,47.5,Carte de credit,En ligne,2024-10-16
TXN_1722933,Client_20,Ordinateurs et accessoires electriques,Article_21_ORDI,35.0,7.0,245.0,Espèce,En ligne,2023-08-12
TXN_5846723,Client_05,Patisserie,Article_10_PAT,18.5,3.0,55.5,Espèce,En magasin,2024-01-28
TXN_8759839,Client_10,Produit laitier,Article_2_LAIT,6.5,1.0,6.5,Portefeuille electronique,En ligne,2024-06-03
TXN_1747548,Client_04,Boissons,Article_25_BOI,41.0,2.0,82.0,Portefeuille electronique,En ligne,2024-11-06
TXN_2202698,Client_16,Produit laitier,Article_8_LAIT,15.5,6.0,93.0,Portefeuille electronique,En magasin,2022-08-18
TXN_7296074,Client_23,Ordinateurs et accessoires electriques,Article_18_ORDI,30.5,5.0,152.5,Carte de credit,En ligne,2022-10-09
TXN_8786633,Client_16,Patisserie,Article_24_PAT,39.5,3.0,118.5,Carte de credit,En ligne,2022-09-14
TXN_4174281,Client_19,Bouchers,Article_1_BOU,5.0,7.0,35.0,Portefeuille electronique,En magasin,2023-04-18
